01135,02/09/2024,"0-6"" Digital Caliper","0"" - 6"" DIGITAL CALI",365,02/08/2025,319,02/09/2024,
00001,11/09/2023,1/2-20-UNF-2B,THREAD PLUG GAGE,365,11/08/2024,227,11/09/2023,
00002,04/09/2009,"1-2"" STARRETT PITCH MICROMETER. 2","1-2"" 20-24 PITCH MIC",365,08/03/2024,130,04/04/2023,
00005,04/10/2015,"1-2"" STARRETT BLADE MIC","1-2"" BLADE MICROMETE",365,04/03/2024,8,04/04/2023,
00007,12/11/2009,"16"" SCHERR-TUMICO OPTICAL C",OPTICAL COMPARATOR,365,05/31/2024,66,06/08/2023,
00013,06/09/2009,"0-1"" MITUTOYO PIN MICROMETER","0 - 1"" PIN MICROMETE",365,04/16/2024,21,04/17/2023,
00014,11/02/2010,7/16-20 UNF 2B GO/NOGO THD. PLUG G,THREAD PLUG GAGE,365,11/07/2024,226,11/08/2023,
00015,06/09/2009,"1-2"" STARRETT PIN MICROMETER","1-2"" MICROMETER",365,01/04/2024,82 - Late,01/04/2023,
00018,11/15/2010,1/2-32 UN 3B GO/NOGO THREAD GAGE,THREAD PLUG GAGE,365,01/16/2025,296,01/17/2024,
00020,09/23/2011,"3""-4"" B&S OUTSIDE MICROMETER","3-4"" OUTSIDE MICROME",365,10/01/2024,189,10/02/2023,
00021,06/09/2009,"1-2"" ACCUPRO PITCH MICROMETER. 22-",PITCH MICROMETER,365,06/01/2024,67,06/02/2023,
00022,03/28/2011,M5 X 0.8 6H GO/NO GO THREAD,THREAD PLUG GAGE,365,02/01/2025,312,02/02/2024,
00023,04/06/2011,5/16-18 UNC 2B GO/NO GO THREAD G,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00024,04/09/2009,"3/8-1 3/8"" N.C.K GROOVE INDICATOR",GROOVE INDICATOR,365,04/03/2024,8,04/04/2023,
00027,09/26/2011,"5""-6"" B&S OUTSIDE MICROMETER","5"" - 6"" OUSTSIDE MIC",365,10/01/2024,189,10/02/2023,
00028,09/26/2011,7/8-32 2B GO/NOGO THD. GAGE,THREAD PLUG GAGE,365,10/01/2024,189,10/02/2023,
00034,12/03/2009,"0-1"" MITUTOYO BLADE MICROMETER","0-1"" BLADE MICROMETE",365,05/01/2024,36,05/02/2023,
00037,09/29/2011,"0-90 CHAMFER GAGE, SPI",CHAMFER GAGE,365,01/17/2025,297,01/18/2024,
00038,03/06/2012,"1-2"" MITUTOYO DIGITAL MICROMETER","1"" - 2"" DIGITAL MICR",365,06/01/2024,67,06/02/2023,
00039,06/07/2012,"6""-7"" MITUTOYO MICROMETER","6""-7"" OUTSIDE MICROM",365,06/01/2024,67,06/02/2023,
00041,10/26/2011,"0-1"" 14-18 STARRETT PITCH MIC",PITCH MICROMETER,365,11/07/2024,226,11/08/2023,
00042,06/09/2009,"1-2"" STARRETT PITCH MICROMETER. 8-13",PITCH MICROMETER,365,02/01/2025,312,02/02/2024,
00043,12/21/2018,"1-2"" STARRETT PITCH MICROMETER 14 T",PITCH MICROMETER,365,01/17/2025,297,01/18/2024,
00047,05/13/2012,M6 X 1.0 6H GO/NO GO GAGE,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00048,04/14/2015,#5-40 UNC-2B GO/NOGO P,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00049,06/10/2009,10-24 UNC 2B GO/NO GO PLUG GAGE,THREAD PLUG GAGE,365,06/08/2024,74,06/09/2023,
